Date,Team 1,FT,Team 2,Season
Aug 24 1963,Werder Bremen,3-2,Borussia Dortmund,1963-64
Aug 24 1963,1. FC Saarbrücken,0-2,1. FC Köln,1963-64
Aug 24 1963,TSV 1860 Munich,1-1,Eintracht Braunschweig,1963-64
Aug 24 1963,Eintracht Frankfurt,1-1,1. FC Kaiserslautern,1963-64
Aug 24 1963,FC Schalke 04,2-0,VfB Stuttgart,1963-64
Aug 24 1963,Preußen Münster,1-1,Hamburger SV,1963-64
Aug 24 1963,Karlsruher SC,1-4,MSV Duisburg,1963-64
Aug 24 1963,Hertha BSC,1-1,1. FC Nürnberg,1963-64
Aug 31 1963,Borussia Dortmund,3-3,TSV 1860 Munich,1963-64
Aug 31 1963,Hamburger SV,4-2,1. FC Saarbrücken,1963-64
Aug 31 1963,1. FC Nürnberg,3-0,Werder Bremen,1963-64
Aug 31 1963,1. FC Köln,4-0,Karlsruher SC,1963-64
Aug 31 1963,1. FC Kaiserslautern,2-3,FC Schalke 04,1963-64
Aug 31 1963,VfB Stuttgart,2-0,Hertha BSC,1963-64
Aug 31 1963,MSV Duisburg,3-1,Eintracht Frankfurt,1963-64
Aug 31 1963,Eintracht Braunschweig,1-0,Preußen Münster,1963-64
Sep 7 1963,TSV 1860 Munich,1-3,1. FC Köln,1963-64
Sep 7 1963,Karlsruher SC,0-4,Hamburger SV,1963-64
Sep 7 1963,Eintracht Frankfurt,2-3,1. FC Nürnberg,1963-64
Sep 7 1963,FC Schalke 04,3-1,Borussia Dortmund,1963-64
Sep 7 1963,Werder Bremen,2-2,VfB Stuttgart,1963-64
Sep 7 1963,Hertha BSC,2-2,1. FC Kaiserslautern,1963-64
Sep 7 1963,Preußen Münster,4-2,MSV Duisburg,1963-64
Sep 7 1963,1. FC Saarbrücken,2-2,Eintracht Braunschweig,1963-64
Sep 14 1963,1. FC Köln,2-2,FC Schalke 04,1963-64
Sep 14 1963,1. FC Nürnberg,2-2,Preußen Münster,1963-64
Sep 14 1963,Borussia Dortmund,2-1,1. FC Saarbrücken,1963-64
Sep 14 1963,Hamburger SV,3-0,Eintracht Frankfurt,1963-64
Sep 14 1963,VfB Stuttgart,1-1,TSV 1860 Munich,1963-64
Sep 14 1963,1. FC Kaiserslautern,3-0,Werder Bremen,1963-64
Sep 14 1963,MSV Duisburg,1-3,Hertha BSC,1963-64
Sep 14 1963,Eintracht Braunschweig,2-0,Karlsruher SC,1963-64
Sep 21 1963,FC Schalke 04,1-0,Hamburger SV,1963-64
Sep 21 1963,1. FC Saarbrücken,3-5,1. FC Nürnberg,1963-64
Sep 21 1963,Hertha BSC,0-3,1. FC Köln,1963-64
Sep 21 1963,Karlsruher SC,1-3,Borussia Dortmund,1963-64
Sep 21 1963,TSV 1860 Munich,3-0,1. FC Kaiserslautern,1963-64
Sep 21 1963,Eintracht Frankfurt,3-0,Eintracht Braunschweig,1963-64
Sep 21 1963,Preußen Münster,4-2,VfB Stuttgart,1963-64
Sep 21 1963,Werder Bremen,1-1,MSV Duisburg,1963-64
Oct 5 1963,1. FC Köln,4-3,Werder Bremen,1963-64
Oct 5 1963,1. FC Kaiserslautern,0-0,Preußen Münster,1963-64
Oct 5 1963,MSV Duisburg,3-0,TSV 1860 Munich,1963-64
Oct 5 1963,VfB Stuttgart,3-1,1. FC Saarbrücken,1963-64
Oct 5 1963,1. FC Nürnberg,2-4,Karlsruher SC,1963-64
Oct 5 1963,Hamburger SV,5-1,Hertha BSC,1963-64
Oct 5 1963,Eintracht Braunschweig,4-3,FC Schalke 04,1963-64
Oct 5 1963,Borussia Dortmund,3-0,Eintracht Frankfurt,1963-64
Oct 12 1963,Eintracht Frankfurt,2-1,1. FC Köln,1963-64
Oct 12 1963,Hertha BSC,1-2,Eintracht Braunschweig,1963-64
Oct 12 1963,TSV 1860 Munich,5-0,1. FC Nürnberg,1963-64
Oct 12 1963,Karlsruher SC,0-3,VfB Stuttgart,1963-64
Oct 12 1963,FC Schalke 04,2-2,MSV Duisburg,1963-64
Oct 12 1963,1. FC Saarbrücken,2-4,1. FC Kaiserslautern,1963-64
Oct 12 1963,Werder Bremen,4-2,Hamburger SV,1963-64
Oct 12 1963,Preußen Münster,1-2,Borussia Dortmund,1963-64
Oct 19 1963,Hamburger SV,5-0,TSV 1860 Munich,1963-64
Oct 19 1963,1. FC Köln,3-0,Preußen Münster,1963-64
Oct 19 1963,1. FC Nürnberg,0-2,FC Schalke 04,1963-64
Oct 19 1963,VfB Stuttgart,0-0,Eintracht Frankfurt,1963-64
Oct 19 1963,MSV Duisburg,3-1,1. FC Saarbrücken,1963-64
Oct 19 1963,1. FC Kaiserslautern,1-0,Karlsruher SC,1963-64
Oct 19 1963,Eintracht Braunschweig,1-1,Werder Bremen,1963-64
Oct 19 1963,Borussia Dortmund,7-2,Hertha BSC,1963-64
Oct 26 1963,VfB Stuttgart,2-1,Borussia Dortmund,1963-64
Oct 26 1963,FC Schalke 04,2-3,Werder Bremen,1963-64
Oct 26 1963,Hamburger SV,2-1,Eintracht Braunschweig,1963-64
Oct 26 1963,1. FC Köln,3-3,MSV Duisburg,1963-64
Oct 26 1963,1. FC Nürnberg,0-5,1. FC Kaiserslautern,1963-64
Oct 26 1963,Preußen Münster,0-0,TSV 1860 Munich,1963-64
Oct 26 1963,Hertha BSC,1-3,Eintracht Frankfurt,1963-64
Oct 26 1963,1. FC Saarbrücken,1-3,Karlsruher SC,1963-64
Nov 8 1963,Eintracht Braunschweig,1-1,1. FC Köln,1963-64
Nov 9 1963,1. FC Kaiserslautern,1-3,VfB Stuttgart,1963-64
Nov 9 1963,MSV Duisburg,4-0,Hamburger SV,1963-64
Nov 9 1963,Eintracht Frankfurt,4-2,FC Schalke 04,1963-64
Nov 9 1963,TSV 1860 Munich,7-1,1. FC Saarbrücken,1963-64
Nov 9 1963,Karlsruher SC,4-2,Preußen Münster,1963-64
Nov 9 1963,Werder Bremen,2-2,Hertha BSC,1963-64
Nov 9 1963,Borussia Dortmund,3-1,1. FC Nürnberg,1963-64
Nov 16 1963,1. FC Köln,4-1,Hamburger SV,1963-64
Nov 16 1963,Eintracht Braunschweig,0-0,MSV Duisburg,1963-64
Nov 16 1963,1. FC Saarbrücken,1-1,Preußen Münster,1963-64
Nov 16 1963,VfB Stuttgart,1-0,1. FC Nürnberg,1963-64
Nov 16 1963,TSV 1860 Munich,1-0,Karlsruher SC,1963-64
Nov 16 1963,Werder Bremen,4-1,Eintracht Frankfurt,1963-64
Nov 16 1963,Borussia Dortmund,9-3,1. FC Kaiserslautern,1963-64
Nov 16 1963,FC Schalke 04,1-0,Hertha BSC,1963-64
Nov 23 1963,1. FC Nürnberg,2-2,1. FC Köln,1963-64
Nov 23 1963,Hamburger SV,1-1,VfB Stuttgart,1963-64
Nov 23 1963,MSV Duisburg,3-3,Borussia Dortmund,1963-64
Nov 23 1963,Preußen Münster,2-2,FC Schalke 04,1963-64
Nov 23 1963,1. FC Kaiserslautern,2-1,Eintracht Braunschweig,1963-64
